Index,data_year,offense_count
0,1996,118407
1,2005,452668
2,1998,7237
3,1993,66916
4,1999,209359
5,2006,224269
6,2003,355504
7,1997,155620
8,2010,16129
9,1991,49794
10,2001,311720
11,2009,16141
12,2009,167914
13,2013,536666
14,2000,268204
15,2010,162658
16,1991,2716
17,2006,17496
18,2012,1791090
19,2002,341845
20,2011,1714816
21,2017,1798007
22,2015,1735265
23,1998,77259
24,1993,5320
25,2007,503227
26,2013,173497
27,2009,554082
28,2000,126043
29,2001,12642
30,2004,1381685
31,2010,570510
32,1997,5583
33,2003,12703
34,1995,332659
35,2002,155818
36,2014,1718021
37,1999,8214
38,2007,215938
39,1994,702886
40,2016,1786627
41,1998,191757
42,1996,4081
43,2005,15830
44,1999,88407
45,2007,17256
46,1996,44402
47,2005,225411
48,1993,217948
49,2003,157882
50,2006,491193
51,2002,12508
52,2000,11067
53,2001,148032
54,1991,185436
55,1997,62843
56,2013,13838
57,1992,595848
58,2008,1634547
59,2010,1680282
60,2004,396681
61,2009,1663864
62,1998,683274
63,2015,188504
64,1994,210260
65,2016,461295
66,2011,163254
67,2014,480757
68,2017,237655
69,2012,172755
70,1995,95111
71,2012,16222
72,2006,1566454
73,2015,13558
74,1993,690788
75,2011,15809
76,2017,13982
77,2008,523499
78,1992,213834
79,1991,440144
80,1995,3185
81,2003,1248729
82,1999,783716
83,1996,418545
84,2005,1515113
85,1994,6812
86,2016,14040
87,2014,13382
88,2008,192821
89,1992,62740
90,2001,1153819
91,1997,571504
92,2004,13521
93,2004,176626
94,2000,1029126
95,2008,16787
96,2013,1758447
97,1992,5160
98,2007,1602875
99,1994,68696
100,2016,221410
101,2015,460375
102,2017,438034
103,2014,176398
104,2011,585271
105,2012,586347
106,2002,1216338
107,1995,33572
