Pop_Rank,State,Population
1,California,"39,536,653"
2,Texas,"28,304,596"
3,Florida,"20,984,400"
4,New York,"19,849,399"
5,Pennsylvania,"12,805,537"
6,Illinois,"12,802,023"
7,Ohio,"11,658,609"
8,Georgia,"10,429,379"
9,North Carolina,"10,273,419"
10,Michigan,"9,962,311"
11,New Jersey,"9,005,644"
12,Virginia,"8,470,020"
13,Washington,"7,405,743"
14,Arizona,"7,016,270"
15,Massachusetts,"6,859,819"
16,Tennessee,"6,715,984"
17,Indiana,"6,666,818"
18,Missouri,"6,113,532"
19,Maryland,"6,052,177"
20,Wisconsin,"5,795,483"
21,Colorado,"5,607,154"
22,Minnesota,"5,576,606"
23,South Carolina,"5,024,369"
24,Alabama,"4,874,747"
25,Louisiana,"4,684,333"
26,Kentucky,"4,454,189"
27,Oregon,"4,142,776"
28,Oklahoma,"3,930,864"
29,Connecticut,"3,588,184"
30,Iowa,"3,145,711"
31,Utah,"3,101,833"
32,Arkansas,"3,004,279"
33,Nevada,"2,998,039"
34,Mississippi,"2,984,100"
35,Kansas,"2,913,123"
36,New Mexico,"2,088,070"
37,Nebraska,"1,920,076"
38,West Virginia,"1,815,857"
39,Idaho,"1,716,943"
40,Hawaii,"1,427,538"
41,New Hampshire,"1,342,795"
42,Maine,"1,335,907"
43,Rhode Island,"1,059,639"
44,Montana,"1,050,493"
45,Delaware,"961,939"
46,South Dakota,"869,666"
47,North Dakota,"755,393"
48,Alaska,"739,795"
49,Vermont,"623,657"
50,Wyoming,"579,315"
